state,population,t2020-01-20,t2020-01-21,t2020-01-22,t2020-01-23,t2020-01-24,t2020-01-25,t2020-01-26,t2020-01-27,t2020-01-28,t2020-01-29,t2020-01-30,t2020-01-31,t2020-02-01,t2020-02-02,t2020-02-03,t2020-02-04,t2020-02-05,t2020-02-06,t2020-02-07,t2020-02-08,t2020-02-09,t2020-02-10,t2020-02-11,t2020-02-12,t2020-02-13,t2020-02-14,t2020-02-15,t2020-02-16,t2020-02-17,t2020-02-18,t2020-02-19,t2020-02-20,t2020-02-21,t2020-02-22,t2020-02-23,t2020-02-24,t2020-02-25,t2020-02-26,t2020-02-27,t2020-02-28,t2020-02-29,t2020-03-01,t2020-03-02,t2020-03-03,t2020-03-04,t2020-03-05,t2020-03-06,t2020-03-07,t2020-03-08,t2020-03-09,t2020-03-10,t2020-03-11,t2020-03-12,t2020-03-13,t2020-03-14,t2020-03-15,t2020-03-16,t2020-03-17,t2020-03-18,t2020-03-19,t2020-03-20,t2020-03-21,t2020-03-22,t2020-03-23,t2020-03-24,t2020-03-25,t2020-03-26,t2020-03-27,t2020-03-28,t2020-03-29,t2020-03-30,t2020-03-31,t2020-04-01,t2020-04-02,t2020-04-03,t2020-04-04,t2020-04-05,t2020-04-06,t2020-04-07,t2020-04-08,t2020-04-09,t2020-04-10,t2020-04-11,t2020-04-12,t2020-04-13,t2020-04-14,t2020-04-15,t2020-04-16,t2020-04-17,t2020-04-18,t2020-04-19,t2020-04-20,t2020-04-21,t2020-04-22,t2020-04-23,t2020-04-24,t2020-04-25,t2020-04-26,p2020-01-20,p2020-01-21,p2020-01-22,p2020-01-23,p2020-01-24,p2020-01-25,p2020-01-26,p2020-01-27,p2020-01-28,p2020-01-29,p2020-01-30,p2020-01-31,p2020-02-01,p2020-02-02,p2020-02-03,p2020-02-04,p2020-02-05,p2020-02-06,p2020-02-07,p2020-02-08,p2020-02-09,p2020-02-10,p2020-02-11,p2020-02-12,p2020-02-13,p2020-02-14,p2020-02-15,p2020-02-16,p2020-02-17,p2020-02-18,p2020-02-19,p2020-02-20,p2020-02-21,p2020-02-22,p2020-02-23,p2020-02-24,p2020-02-25,p2020-02-26,p2020-02-27,p2020-02-28,p2020-02-29,p2020-03-01,p2020-03-02,p2020-03-03,p2020-03-04,p2020-03-05,p2020-03-06,p2020-03-07,p2020-03-08,p2020-03-09,p2020-03-10,p2020-03-11,p2020-03-12,p2020-03-13,p2020-03-14,p2020-03-15,p2020-03-16,p2020-03-17,p2020-03-18,p2020-03-19,p2020-03-20,p2020-03-21,p2020-03-22,p2020-03-23,p2020-03-24,p2020-03-25,p2020-03-26,p2020-03-27,p2020-03-28,p2020-03-29,p2020-03-30,p2020-03-31,p2020-04-01,p2020-04-02,p2020-04-03,p2020-04-04,p2020-04-05,p2020-04-06,p2020-04-07,p2020-04-08,p2020-04-09,p2020-04-10,p2020-04-11,p2020-04-12,p2020-04-13,p2020-04-14,p2020-04-15,p2020-04-16,p2020-04-17,p2020-04-18,p2020-04-19,p2020-04-20,p2020-04-21,p2020-04-22,p2020-04-23,p2020-04-24,p2020-04-25,p2020-04-26,n2020-01-20,n2020-01-21,n2020-01-22,n2020-01-23,n2020-01-24,n2020-01-25,n2020-01-26,n2020-01-27,n2020-01-28,n2020-01-29,n2020-01-30,n2020-01-31,n2020-02-01,n2020-02-02,n2020-02-03,n2020-02-04,n2020-02-05,n2020-02-06,n2020-02-07,n2020-02-08,n2020-02-09,n2020-02-10,n2020-02-11,n2020-02-12,n2020-02-13,n2020-02-14,n2020-02-15,n2020-02-16,n2020-02-17,n2020-02-18,n2020-02-19,n2020-02-20,n2020-02-21,n2020-02-22,n2020-02-23,n2020-02-24,n2020-02-25,n2020-02-26,n2020-02-27,n2020-02-28,n2020-02-29,n2020-03-01,n2020-03-02,n2020-03-03,n2020-03-04,n2020-03-05,n2020-03-06,n2020-03-07,n2020-03-08,n2020-03-09,n2020-03-10,n2020-03-11,n2020-03-12,n2020-03-13,n2020-03-14,n2020-03-15,n2020-03-16,n2020-03-17,n2020-03-18,n2020-03-19,n2020-03-20,n2020-03-21,n2020-03-22,n2020-03-23,n2020-03-24,n2020-03-25,n2020-03-26,n2020-03-27,n2020-03-28,n2020-03-29,n2020-03-30,n2020-03-31,n2020-04-01,n2020-04-02,n2020-04-03,n2020-04-04,n2020-04-05,n2020-04-06,n2020-04-07,n2020-04-08,n2020-04-09,n2020-04-10,n2020-04-11,n2020-04-12,n2020-04-13,n2020-04-14,n2020-04-15,n2020-04-16,n2020-04-17,n2020-04-18,n2020-04-19,n2020-04-20,n2020-04-21,n2020-04-22,n2020-04-23,n2020-04-24,n2020-04-25,n2020-04-26
Montana,1068778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,15,21,35,56,108,110,205,311,509,773,947,1166,1177,1180,1689,2001,2199,2698,3385,4297,4314,4418,4918,5320,5576,6177,6603,6790,6985,7398,7860,8297,8581,8913,9098,9234,9583,9936,10244,10569,10898,11051,11241,11583,11875,12127,12497,12862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,15,21,35,56,108,110,205,311,509,773,947,1166,1177,1180,1689,2001,2199,2698,3385,4297,4314,4418,4918,5320,5576,6177,6603,6790,6985,7398,7860,8297,8581,8913,9098,9234,9583,9936,10244,10569,10898,11051,11241,11583,11875,12127,12497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,15,21,34,55,103,108,198,303,499,761,931,1146,1166,1177,1643,1948,2128,2590,3256,4143,4297,4314,4710,5093,5333,5912,6317,6603,6790,7066,7506,7932,8297,8581,8913,9098,9234,9583,9936,10244,10569,10898,11051,11241,11583,11875,12127,12497
Nebraska,1934408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,18,18,39,50,52,90,93,94,97,188,227,230,267,272,394,404,406,1027,1365,1657,1846,2000,2076,2729,3103,3685,4224,4766,5379,5921,6787,7258,7961,8683,9354,9985,10691,10972,11357,11729,12294,13104,13677,14575,15680,16372,16679,17360,18612,19973,21228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,18,18,39,50,52,90,93,94,97,188,227,230,267,272,394,404,406,1027,1365,1657,1846,2000,2076,2729,3103,3685,4224,4766,5379,5921,6787,7258,7961,8683,9354,9985,10691,10972,11357,11729,12294,13104,13677,14575,15680,16372,16679,17360,18612,19973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,18,36,47,50,80,90,93,94,170,206,227,240,267,356,394,404,975,1304,1584,1761,1904,2000,2584,2931,3475,3978,4487,5058,5558,6378,6811,7442,8116,8719,9354,9985,10691,10972,11357,11729,12294,13104,13677,14575,15680,16372,16679,17360,18612,19973
Nevada,3080156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,173,175,179,188,189,213,223,223,1721,2101,2508,2638,3735,4232,4572,5117,6696,8522,9150,11215,11794,12798,14046,14532,16163,16831,17629,18639,20566,21771,22749,23587,24611,25464,26661,27655,28451,29762,30751,31598,32347,33055,33888,34749,36192,37208,38186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,15,15,15,15,173,175,179,188,189,213,223,223,1721,2101,2508,2638,3735,4232,4572,5117,6696,8522,9150,11215,11794,12798,14046,14532,16163,16831,17629,18639,20566,21771,22749,23587,24611,25464,26661,27655,28451,29762,30751,31598,32347,33055,33888,34749,36192,37208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,15,15,15,15,168,173,175,179,188,189,213,223,1626,1992,2384,2508,3490,3954,4251,4697,6161,7901,8522,10207,11215,11794,12798,14046,14532,16163,16831,17629,18639,20566,21771,22749,23587,24611,25464,26661,27655,28451,29762,30751,31598,32347,33055,33888,34749,36192,37208
New Hampshire,1359711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,22,22,42,42,42,42,100,100,219,284,284,372,539,660,789,1028,1253,1452,1548,2464,3138,3553,3843,4738,5700,5727,6400,6493,7054,7505,8032,8370,8734,9177,9551,9958,10493,10925,11207,11610,12166,12166,12708,12852,13424,14118,14339,15041,16012,16809,17727,18751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,18,22,22,42,42,42,42,100,100,219,284,284,372,539,660,789,1028,1253,1452,1548,2464,3138,3553,3843,4738,5700,5727,6400,6493,7054,7505,8032,8370,8734,9177,9551,9958,10493,10925,11207,11610,12166,12166,12708,12852,13424,14118,14339,15041,16012,16809,17727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,20,22,38,42,42,42,94,100,212,271,284,355,513,621,745,973,1188,1374,1452,2356,3001,3395,3656,4524,5386,5700,5985,6400,6575,7054,7505,8032,8370,8734,9177,9551,9958,10493,10925,11207,11610,12166,12166,12708,12852,13424,14118,14339,15041,16012,16809,17727
New Jersey,8882190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,37,46,59,81,104,147,147,218,298,430,617,952,1154,1621,2241,3203,12000,14854,20537,25372,30510,35602,41860,45773,52642,59110,67503,75356,82166,89032,94974,100416,107192,113523,120193,126735,129469,139774,144021,151830,157449,162536,170688,178057,184826,191659,200148,205962,213686,223144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,37,46,59,81,104,147,147,218,298,430,742,952,1327,1914,2844,3675,12000,14854,20537,25372,30510,35602,41860,45773,52642,59110,67503,75356,82166,89032,94974,100416,107192,113523,120193,126735,129469,139774,144021,151830,157449,162536,170688,178057,184826,191659,200148,205962,213686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,37,46,59,81,104,147,147,218,298,430,617,952,1154,1621,2241,8325,12000,14854,20537,25372,30510,35602,41860,45773,52642,59110,67503,75356,82166,89032,94974,100416,107192,113523,120193,126735,129469,139774,144021,151830,157449,162536,170688,178057,184826,191659,200148,205962,213686
New Mexico,2096829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,48,57,69,90,160,200,247,495,583,1272,2354,2797,3814,3828,4779,5386,5973,6842,7793,8513,9387,11006,11179,12527,13240,14011,14778,15632,16828,19136,21825,22245,23807,27098,27098,28692,30515,31970,32850,33394,34488,35613,36632,37042,38755,40877,41232,46563,51510,53735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,48,57,69,90,160,200,247,495,583,1272,2354,2797,3814,3828,4779,5386,5973,6842,7793,8513,9387,11006,11179,12527,13240,14011,14778,15632,16828,19136,21825,22245,23807,27098,27098,28692,30515,31970,32850,33394,34488,35613,36632,37042,38755,40877,41232,46563,51510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,48,57,69,87,155,190,237,482,566,1249,2326,2762,3771,3814,4722,5321,5890,6742,7681,8377,9196,10769,11006,12246,12925,13648,14375,15137,16285,18512,21139,21825,22942,26007,27098,27518,29270,30625,31970,32850,33394,34488,35613,36632,37042,38805,40877,44184,48989,51510
New York,19453561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,98,125,168,197,234,265,308,308,3200,3303,5272,5493,7206,14597,22284,32427,45437,61401,78289,91270,103479,122104,145753,155934,172360,186468,205186,220880,238965,260520,283621,302280,320811,340058,365153,391549,417885,440980,461601,478357,499143,526012,550579,573223,596532,617555,633861,649325,669982,695920,730656,777568,805350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,98,125,168,197,234,265,308,421,3200,3303,5272,5493,7206,14597,22284,32427,45437,61401,78289,91270,103479,122104,145753,155934,172360,186468,205186,220880,238965,260520,283621,302280,320811,340058,365153,391549,417885,440980,461601,478357,499143,526012,550579,573223,596532,617555,633861,649325,669982,695920,730656,777568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,76,98,125,168,197,234,265,308,2779,3200,4543,5272,5506,12215,18132,25325,35081,46233,61401,78289,91270,103479,122104,145753,155934,172360,186468,205186,220880,238965,260520,283621,302280,320811,340058,365153,391549,417885,440980,461601,478357,499143,526012,550579,573223,596532,617555,633861,649325,669982,695920,730656,777568
North Carolina,10488084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,7,7,72,101,160,259,329,514,1850,2505,3233,5276,6438,8438,8539,10489,12910,15136,17527,18945,20864,23106,26243,28679,31598,38773,40045,40726,41082,42987,47809,57645,60393,62139,63388,65039,67827,70917,72981,76211,78772,79484,83331,90336,96185,100584,105265,107894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,7,7,12,72,101,160,259,329,514,1850,2505,3233,5276,6438,8438,8539,10489,12910,15136,17527,18945,20864,23106,26243,28679,31598,38773,40045,40726,41082,42987,47809,57645,60393,62139,63388,65039,67827,70917,72981,76211,78772,79484,83331,90336,96185,100584,105265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,7,60,86,137,227,296,474,1787,2408,3096,5092,6183,8141,8438,9985,12274,14373,16592,17905,19557,21608,24659,26822,29505,36371,38773,40045,40726,41082,44158,53737,57645,60393,62139,63388,65039,67827,70917,72981,76211,78772,79484,83331,90336,96185,100584,105265
North Dakota,762062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,40,55,96,124,223,274,508,820,1169,1288,1383,1488,1773,2091,2492,2892,3453,3837,4257,4493,4980,5798,6207,6787,7213,7703,8552,8990,9608,10080,10350,10781,10916,11317,11704,12342,12963,13630,14747,14987,15589,16330,17449,19350,20717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,40,55,96,124,223,274,508,820,1169,1288,1383,1488,1773,2091,2492,2892,3453,3837,4257,4493,4980,5798,6207,6787,7213,7703,8552,8990,9608,10080,10350,10781,10916,11317,11704,12342,12963,13630,14747,14987,15589,16330,17449,19350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,39,54,95,123,220,268,493,800,1141,1260,1353,1454,1734,2039,2427,2809,3355,3728,4131,4351,4821,5625,6021,6580,6988,7466,8301,8721,9330,9787,10080,10450,10781,10952,11317,11903,12435,13045,14120,14747,14987,15621,16701,18547,19850
Ohio,11689100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,10,14,17,25,35,63,63,175,190,207,228,259,309,387,491,582,704,14764,17316,20149,20418,20665,27275,29191,29539,34918,38375,41871,43756,48378,50838,53341,55985,58531,60408,63243,65112,67874,71552,74840,77677,78758,86989,90436,94239,97998,102325,107109,111379,115783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,10,14,17,25,35,63,63,175,190,207,228,259,309,387,491,582,704,14764,17316,20149,20418,20665,27275,29191,29539,34918,38375,41871,43756,48378,50838,53341,55985,58531,60408,63243,65112,67874,71552,74840,77677,78758,86989,90436,94239,97998,102325,107109,111379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,10,11,14,21,30,50,63,139,175,190,207,228,259,309,387,491,582,14060,16449,19012,20149,20418,25342,27275,29191,32016,35063,38375,41871,43928,48378,50838,53341,55985,58531,60408,63243,65112,67874,71552,74840,77677,78758,86989,90436,94239,97998,102325,107109,111379
Oklahoma,3956971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,17,17,39,39,40,127,184,264,407,510,587,613,736,775,841,969,1206,1406,1557,1634,1688,1794,1967,2144,2303,2521,2653,2749,13293,13345,20279,22164,22658,22760,22859,28269,29219,30899,33620,35536,35565,35646,44344,45913,46036,46140,53084,53144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,17,17,39,39,40,127,184,264,407,510,587,613,736,775,841,969,1206,1406,1557,1634,1688,1794,1967,2144,2303,2521,2653,2749,13293,13345,20279,22164,22658,22760,22859,28269,29219,30899,33620,35536,35565,35646,44344,45913,46036,46140,53084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,15,17,36,39,39,118,174,247,378,466,538,587,669,736,775,841,969,1206,1406,1557,1634,1688,1794,1967,2144,2303,2521,2653,11821,13293,18595,20370,22164,22658,22760,26085,28269,29219,31155,33620,35536,35565,41537,44344,45913,46036,49891,53084
Oregon,4217737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,48,67,84,114,179,228,305,305,367,367,456,618,736,1193,1417,2117,2117,3025,3840,4559,4559,7280,8924,10172,11426,12883,13826,13872,16085,17434,17534,20624,21801,23007,24564,25627,25627,27224,29758,31121,32363,33351,34938,36321,37583,39038,40045,41128,41185,43976,45492,47377,48964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,48,67,84,114,179,228,305,305,367,367,456,618,736,1193,1417,2117,2117,3025,3840,4559,4559,7280,8924,10172,11426,12883,13826,13872,16085,17434,17534,20624,21801,23007,24564,25627,25627,27224,29758,31121,32363,33351,34938,36321,37583,39038,40045,41128,41185,43976,45492,47377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,45,64,77,100,165,213,286,305,337,367,420,579,689,1118,1329,2003,2117,2864,3649,4350,4559,6953,8510,9693,10878,12277,13136,13826,15259,16535,17434,19556,20669,21826,23325,24564,25627,25853,28231,29758,31121,32363,33351,34938,36321,37583,39038,40045,41128,41849,43976,45492,47377
Pennsylvania,12801989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,12,104,138,181,252,268,746,975,1320,1793,2842,4137,5443,7239,9494,12320,18128,23234,28005,33455,37864,42488,48232,54714,62115,70030,77771,83854,91278,98538,105602,113019,120153,124890,129792,133631,137584,141470,147373,153965,158854,162952,166851,171317,178708,186143,192935,198593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,12,16,104,138,181,252,268,746,975,1320,1793,2842,4137,5443,7239,9494,12320,18128,23234,28005,33455,37864,42488,48232,54714,62115,70030,77771,83854,91278,98538,105602,113019,120153,124890,129792,133631,137584,141470,147373,153965,158854,162952,166851,171317,178708,186143,192935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,88,116,140,205,252,670,879,1187,1608,2574,3766,4964,6595,8643,11193,16441,21016,25254,30061,33777,37864,42488,48232,54714,62115,70030,77771,83854,91278,98538,105602,113019,120153,124890,129792,133631,137584,141470,147373,153965,158854,162952,166851,171317,178708,186143,192935
Rhode Island,1059361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,13,19,20,32,33,33,61,99,99,156,218,291,329,426,573,698,854,928,1015,1249,1324,1394,1427,2509,2780,3134,3589,3965,4397,5069,5566,6390,7181,8481,10307,12132,12409,14296,18207,20350,20661,22900,25897,28064,30761,32826,34699,37080,39333,41722,44419,47257,50891,53403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,13,19,20,32,33,33,61,99,99,156,218,291,329,426,573,698,854,928,1015,1249,1324,1394,1427,2509,2780,3134,3589,3965,4397,5069,5566,6390,7181,8481,10307,12132,12409,14296,18207,20350,20661,22900,25897,28064,30761,32826,34699,37080,39333,41722,44419,47257,50891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,17,19,30,32,33,58,94,99,142,198,271,308,403,540,654,800,862,932,1143,1249,1324,1394,2306,2541,2840,3187,3589,3965,4412,5069,5584,6390,7399,9077,10682,12132,12409,15858,18207,20350,20661,22900,25897,28064,30761,32826,34699,37080,39333,41722,44419,47257,50891
South Carolina,5148714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,31,31,41,58,87,123,173,263,344,643,643,914,1407,1661,1764,2310,2727,2763,2763,2947,3789,5085,5699,6326,6995,6995,18314,18976,18976,23680,24634,27367,28183,30093,31425,31425,33872,34733,34733,36284,38833,40480,40480,41277,43111,44463,44463,49014,50761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,31,31,41,58,87,123,173,263,344,643,643,914,1407,1661,1764,2310,2727,2763,2763,2947,3789,5085,5699,6326,6995,6995,18314,18976,18976,23680,24634,27367,28183,30093,31425,31425,33872,34733,34733,36284,38833,40480,40480,41277,43111,44463,44463,49014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,8,10,24,31,32,48,75,110,154,235,311,583,643,833,1255,1466,1661,2012,2310,2727,2763,2763,3015,4160,5085,5699,6326,6995,16397,18314,18976,21263,23680,24634,27367,28183,30093,31425,31425,33872,34733,34733,36284,38833,40480,40480,41277,43111,44463,44463,49014
South Dakota,884659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,11,18,35,82,191,336,504,562,562,562,677,705,761,790,820,860,2019,2445,2660,3217,3579,3717,4032,4382,4780,5224,5593,6020,6268,6748,7147,7647,8004,8553,9002,9296,9859,10550,11062,11660,12062,12326,12815,13446,14065,14824,15596,16274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,11,18,35,82,191,336,504,562,562,562,677,705,761,790,820,860,2019,2445,2660,3217,3579,3717,4032,4382,4780,5224,5593,6020,6268,6748,7147,7647,8004,8553,9002,9296,9859,10550,11062,11660,12062,12326,12815,13446,14065,14824,15596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,11,13,27,73,182,327,494,551,562,562,663,691,740,762,790,820,1973,2387,2592,3127,3478,3609,3903,4217,4593,5012,5353,5732,6020,6355,6748,7147,7647,8004,8553,9002,9296,9859,10550,11062,11660,12062,12326,12815,13446,14065,14824,15596
